title,doi,target
Synthesis of HIV Protease Inhibitor ABT-378 (Lopinavir),10.1021/op990202j,CC1=C(C(=CC=C1)C)OCC(=O)N[C@@H](CC2=CC=CC=C2)[C@H](C[C@H](CC3=CC=CC=C3)NC(=O)[C@H](C(C)C)N4CCCNC4=O)O
Discovery and Development of a Commercial Synthesis of Azafenidin,10.1021/op9901994,C#CCOC1=C(C=C(C(=C1)N2C(=O)N3CCCCC3=N2)Cl)Cl
The Development of a Manufacturable Synthesis of LY213829,10.1021/op990197j,CC(C)(C)C1=CC(=CC(=C1O)C(C)(C)C)CC2C(=O)NCS2
A Concise Asymmetric Synthesis of A β-Lactam-Based Cholesterol Absorption Inhibitor,10.1021/op990196r,C1C=C(O)C=CC=1C1N(C2C=CC(F)=CC=2)C(=O)C1C(O)COC1C=CC(F)=CC=1
Use of Sodium Bromate for Aromatic Bromination:  Research and Development,10.1021/op9901947,C1C=CC(OC2C=CC=C(C=O)C=2)=CC=1
Efficient Synthesis of the Anticancer Drug Etoposide 4‘-Phosphate:  Use of Benzylic Ether-Protecting Groups on the Carbohydrate Segment<sup>1</sup>,10.1021/op990193e,C[C@@H]1OC[C@@H]2[C@@H](O1)[C@@H]([C@H]([C@@H](O2)O[C@H]3[C@H]4COC(=O)[C@@H]4[C@@H](C5=CC6=C(C=C35)OCO6)C7=CC(=C(C(=C7)OC)OP(=O)(O)O)OC)O)O
"Synthesis of a Spiro[cyclohex-1,1‘-isobenzofuranyl] Dopamine Receptor Antagonist",10.1021/op990191u,C1C=CC2C(OCC=2C=1)1CCC(N2CCN(C3C=CC(C#N)=C(F)C=3)CC2)CC1
A Concise Two-Step Synthesis of Thalidomide,10.1021/op980201b,C1C=CC2C(N(C(=O)C=2C=1)C1C(=O)NC(=O)CC1)=O
6-(Trifluoromethyl)pyrid-2-one:  Development and Scale-Up of a Ring Synthesis Route Based on Trifluoroacetic Anhydride,10.1021/op970024z,C1C=C(C(F)(F)F)NC(=O)C=1
Use of a Titanium Thienyl Anion and a Simple Procedure for Introducing a Thiol Group into Thiophene in the Development of a Manufacturing Route to the 5-Lipoxygenase Inhibitor ZD4407,10.1021/op960029g,C[C@H]1C[C@](CCO1)(C2=CSC(=C2)SC3=CC4=C(C=C3)N(C(=O)C4)C)O
<i>In Situ</i> FTIR Study and Scale-Up of An Enolization−Azidation Sequence,10.1021/op900299c,C1C=C(S(NC(C(C(F)(F)F)C2C=C(F)C=C(F)C=2)CO)(=O)=O)SC=1Cl
An Improved Synthetic Route for Preparative Process of Vardenafil,10.1021/op900235p,CCCC1=NC(=C2N1N=C(NC2=O)C3=C(C=CC(=C3)S(=O)(=O)N4CCN(CC4)CC)OCC)C
Comparison of Large-Scale Routes to Manufacture Chiral <i>exo</i>-2-Norbornyl Thiourea,10.1021/op9002328,CC(C)[C@]1(C(=O)NC(=N[C@H]2C[C@@H]3CC[C@H]2C3)S1)C
"Development of a Scalable Synthetic Process for DG-051B, A First-in-Class Inhibitior of LTA4H",10.1021/op900231j,C1C[C@H](N(C1)CCCC(=O)O)COC2=CC=C(C=C2)OC3=CC=C(C=C3)Cl
"Development of a Scalable Synthetic Process for DG-051B, A First-in-Class Inhibitior of LTA4H",10.1021/op900231j,CC(OC(N1C(COC2C=CC(OC3C=CC(Cl)=CC=3)=CC=2)CCC1)=O)(C)C
"An Efficient Large-Scale Synthesis of EDP-420, a First-in-Class Bridged Bicyclic Macrolide (BBM) Antibiotic Drug Candidate",10.1021/op900228u,CC[C@@H]1[C@@]([C@H]2[C@H](C(=NC(=O)C)[C@@H](C[C@]([C@@H]([C@H](C(=O)[C@H](C(=O)O1)C)C)O[C@H]3[C@@H]([C@H](C[C@H](O3)C)N(C)C)O)(OC/C(=N/OCC4=CN=C(C=C4)N5C=CC=N5)/CO2)C)C)C)(C)O
"Preparation of Saxagliptin, a Novel DPP-IV Inhibitor",10.1021/op900226j,C1[C@@H]2C[C@@H]2N([C@@H]1C#N)C(=O)[C@H](C34CC5CC(C3)CC(C5)(C4)O)N
Development of a Practical Biocatalytic Process for (<i>R</i>)-2-Methylpentanol,10.1021/op9002246,CCCC(CO)C
Practical Enantioselective Synthesis of a 3-Aryl-3-trifluoromethyl-2-aminopropanol Derivative,10.1021/op900216v,C1C=C(S(NC(C(C(F)(F)F)C2C=C(F)C=C(F)C=2)CO)(=O)=O)SC=1Cl
A Catalyzed and Highly Selective Ester Reduction in the Synthesis of an<i>N</i>-Acylpyrrolidine: Safe Design through Reaction Calorimetry and Modeling,10.1021/op8001799,CC(CC(C(O)=O)1N(C(C2C=CC(C(C)(C)C)=C(OC)C=2)=O)C(C2SC=CN=2)C(CC(O)=O)C1)C
UnyLinker: An Efficient and Scaleable Synthesis of Oligonucleotides Utilizing a Universal Linker Molecule: A Novel Approach To Enhance the Purity of Drugs,10.1021/op8000178,C1(C=C(OC)C=CC=1)C(OC1C(OC(CCC(O)=O)=O)C2OC1C1C(=O)N(C3C=CC=CC=3)C(=O)C12)(C1C=CC=CC=1)C1C=CC(OC)=CC=1
A Comparison of Commercial Microwave Reactors for Scale-Up within Process Chemistry,10.1021/op700186z,CN(C(SC1C=CC=CC=1)=O)C
A Chemoenzymatic Synthesis of an Androgen Receptor Antagonist,10.1021/op700146c,C1CC(C#N)C(OC2C=C(C(F)(F)F)C(C#N)=CC=2)CC1
A Concise Synthesis of a Novel Insulin-Like Growth Factor I Receptor (IGF-IR) Inhibitor,10.1021/op700052u,C1CN(C1)CC2CC(C2)N3C=C(C4=C(N=CN=C43)N)C5=CC(=CC=C5)OCC6=CC=CC=C6
A Concise Synthesis of a Novel Insulin-Like Growth Factor I Receptor (IGF-IR) Inhibitor,10.1021/op700052u,C1C=CC(COC2C=C(C3C4C(N)=NC=NC=4NC=3)C=CC=2)=CC=1
A Concise Synthesis of a Novel Insulin-Like Growth Factor I Receptor (IGF-IR) Inhibitor,10.1021/op700052u,COC(C1CC(OS(C)(=O)=O)C1)=O
A Concise Synthesis of a Tetrahydropyrazolopyrazine Building Block,10.1021/op300270r,10.1021/op300270r
"A Brief Review on Industrial Alternatives for the Manufacturing of Glycerol Carbonate, a Green Chemical",10.1021/op200369v,C(O)C1OC(=O)OC1
Development of a Continuous Schotten–Baumann Route to an Acyl Sulfonamide,10.1021/op200344a,C1=CC(=C(C=C1Cl)Cl)C(=O)NS(=O)(=O)C2=CC=C(S2)Br
"Process Development and Scale-Up of AZD7545, a PDK Inhibitor",10.1021/op2003419,C[C@@](C(=O)NC1=C(C=C(C=C1)S(=O)(=O)C2=CC=C(C=C2)C(=O)N(C)C)Cl)(C(F)(F)F)O
Development of a Continuous Flow Scale-Up Approach of Reflux Inhibitor AZD6906,10.1021/op200340c,C(N)C(CP(O)=O)=O
"Process Development and Large-Scale Synthesis of MK-6186, a Non-Nucleoside Reverse Transcriptase Inhibitor for the Treatment of HIV",10.1021/op200334x,C1=CC2=C(NN=C2N=C1)CN3C4=C(C=N3)C(=C(C=C4)Cl)OC5=CC(=CC(=C5)C#N)Cl
Kilogram-Lab-Scale Oxindole Synthesis via Palladium-Catalyzed C–H Functionalization,10.1021/op200332p,CNC(C1C=C2CC(N(C3CCN(CC(N4CC5C(CCC5)C4)=O)CC3)C2=CC=1)=O)=O
Selective Continuous Flow Processes Using Fluorine Gas,10.1021/op200331s,C1C=C(C)C=CC=1C(OCC1C=C([N+]([O-])=O)C=C([N+]([O-])=O)C=1)=O
Practical and Scalable Synthesis of S1P<sub>1</sub> Receptor Agonist ACT-209905,10.1021/op200326s,CCC1=C(C(=CC(=C1)C2=NOC(=N2)C3=CC(=NC(=C3)C)N(CC)CC)C)OC[C@H](CNC(=O)CO)O
Practical and Scalable Synthesis of S1P<sub>1</sub> Receptor Agonist ACT-209905,10.1021/op200326s,CCN(C1C=C(C(O)=O)C=C(C)N=1)CC
Practical and Scalable Synthesis of S1P<sub>1</sub> Receptor Agonist ACT-209905,10.1021/op200326s,CCC1C(O)=C(C)C=C(/C(/N)=N/O)C=1
Process Improvements of Prasugrel Hydrochloride: An Adenosine Diphosphate Receptor Antagonist,10.1021/op200325u,CC(=O)OC1=CC2=C(S1)CCN(C2)C(C3=CC=CC=C3F)C(=O)C4CC4
Use of an Iridium-Catalyzed Redox-Neutral Alcohol-Amine Coupling on Kilogram Scale for the Synthesis of a GlyT1 Inhibitor,10.1021/op200174k,CN1C[C@@H]2[C@H](C1)C2CN(CC3=CC(=C(C=C3)F)Cl)C(=O)C4=CN(C=N4)C
A Commercial Continuous Flow Microwave Reactor Evaluated for Scale-Up,10.1021/op100082w,CC1(OC2C3C(C=CC=2C1)=CC=CC=3)C
